year,day,Dmean,Dmax,ag1,ag3,ag4,ag5,ag6,ag7,ag8,ag9,ag10,bo1,bo5,bo7,bo8,bo9,bo10,pa4,pa5,pa6,pa7,pa8,pa9
2004,196,1.758222222,2.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,197,1.313544304,2.36,1362.923077,3346.28109,3346.28109,3747.239474,3531.04267,2449.83096,NaN,960.160723,2190.548864,1351.563967,2187.923701,NaN,2950.091784,2469.085267,1431.506773,2552.222416,3705.733234,3239.532513,NaN,4579.99102,NaN
2004,198,0.894936709,1.84,1500.614873,3620.944823,3620.944823,4060.848194,4480.617208,2601.036964,NaN,1008.826745,2327.127206,1296.317827,2996.52877,NaN,3613.008565,3007.499376,1834.658042,3039.334708,4630.390299,4286.457082,NaN,6888.839954,NaN
2004,199,1.250632911,2.52,1346.989517,3267.112685,3267.112685,4056.590083,3825.181365,2282.749639,NaN,935.4695766,1963.191364,1144.764628,2174.601722,NaN,2830.031828,2105.152479,1219.333514,2322.953492,3723.489003,3170.592516,2725.368903,4549.116838,NaN
2004,200,0.825189873,1.82,1761.154709,4415.190282,4415.190282,4754.371047,4222.545259,2646.835076,NaN,1273.929524,2527.226301,NaN,2893.602856,NaN,3187.874772,2509.322628,1693.219261,NaN,NaN,NaN,NaN,NaN,NaN
2004,201,1.18443038,2.36,1464.292602,2801.78209,2801.78209,3929.884237,3656.743955,2264.111536,NaN,1078.249074,2065.176828,1361.975894,2372.55006,NaN,3348.291469,2167.886682,1356.291606,2669.908368,3766.045214,3584.454006,2675.586388,NaN,NaN
2004,202,0.947594937,2.11,1796.603009,NaN,NaN,3997.035715,3658.91338,2563.079309,NaN,1175.378411,2106.587651,NaN,2154.781061,NaN,3222.544049,1914.905769,1290.333221,2771.256319,3881.011042,3998.483728,2832.526619,NaN,NaN
2004,203,1.22443038,2.55,1443.874869,2443.438776,2443.438776,3602.341768,3230.100634,NaN,NaN,1094.839039,1995.580005,1064.04726,1615.576392,NaN,2420.66581,1868.728504,1207.256335,2036.741228,2687.623206,3080.475387,1997.857282,NaN,NaN
2004,204,1.755,2.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
